"WVK_ID","WVK_BEGDAT","BEGAFSTAND","ENDAFSTAND","BEGKM","ENDKM"
27142026,20080601,0,2644,.516,3.154
31139006,20211101,0,20,3.166,3.186
31139009,20211101,0,19,3.158,3.177
31139011,20211101,0,693,3.186,3.875
33139003,20211101,0,257,3.875,4.132
33139004,20211101,0,866,4.132,4.998
35139006,20211101,0,17,5.004,5.021
35139007,20211101,0,26,4.998,5.024
35139013,20211101,0,617,8.637,8.021
36138004,20141101,0,42,8.021,7.991
36138009,20211101,0,1884,7.991,6.107
36139004,20211101,0,289,5.342,5.633
36139017,20211101,0,532,5.633,6.213
37139009,20091201,0,28,6.235,6.256
37139010,20091201,0,28,6.214,6.235
37151001,20220401,0,804,4.853,4.054
37151004,20211101,0,17,4.87,4.853
37151006,20211101,0,24,4.876,4.852
37151008,20211101,0,1379,14.125,12.733
38134021,20211101,0,20,6.087,6.107
38134022,20211101,0,20,6.076,6.096
38149004,20220401,0,548,4.054,3.511
39126002,20211101,0,660,.008,.668
39126006,20141101,0,8,.001,.008
39127001,20211101,0,597,.668,1.265
39128006,20211101,0,299,1.265,1.564
39129002,20211101,0,589,1.71,2.299
39129009,20141001,0,21,1.694,1.71
39129010,20141001,0,21,1.679,1.694
39140005,20211101,0,570,7.383,7.946
39152005,20080801,0,23,12.721,12.734
39152006,20080801,0,22,12.708,12.721
40130002,20211101,0,97,2.299,2.396
40131009,20211101,0,305,2.396,2.701
40131013,20150101,0,22,2.72,2.734
40131014,20141101,0,21,2.698,2.72
40141002,20211101,0,815,8.028,8.837
40141005,20211101,0,71,7.946,8.028
40153004,20211101,0,759,12.104,11.362
41132013,20211101,0,23,3.682,3.696
41132014,20200301,0,29,3.667,3.682
41147004,20220401,0,163,1.911,1.749
41147005,20220401,0,229,2.139,1.911
41147007,20220401,0,19,2.139,2.14
42146006,20220401,0,710,1.749,1.033
42154005,20211101,0,28,11.361,11.333
42154006,20211101,0,27,11.362,11.335
42154007,20211101,0,21,11.333,11.354
42154008,20211101,0,19,11.343,11.362
42154013,20211101,0,838,11.333,10.51
43143001,20211101,0,1418,9.518,10.936
43143002,20091201,0,29,9.482,9.5
43146006,20220401,0,1841,10.968,12.812
43146008,20211101,0,28,10.936,10.964
43146016,20211101,0,29,10.939,10.968
43146017,20211101,0,56,.886,.83
43146018,20211101,0,25,10.961,10.936
43146029,20211101,0,102,.981,.879
43146030,20211101,0,52,1.033,.981
43155018,20211101,0,889,10.486,9.596
43155020,20211101,0,18,10.486,10.504
43155021,20211101,0,25,10.51,10.485
43155022,20211101,0,22,10.488,10.51
43155023,20211101,0,32,10.518,10.486
43155032,20211101,0,59,10.497,10.46
43185001,20211101,0,319,10.502,10.189
