# STN;YYYYMMDD;RH
209;20201101;     
209;20201102;     
209;20201103;     
209;20201104;     
209;20201105;     
209;20201106;     
209;20201107;     
209;20201108;     
209;20201109;     
209;20201110;     
209;20201111;     
209;20201112;     
209;20201113;     
209;20201114;     
209;20201115;     
209;20201116;     
209;20201117;     
209;20201118;     
209;20201119;     
209;20201120;     
209;20201121;     
209;20201122;     
209;20201123;     
209;20201124;     
209;20201125;     
209;20201126;     
209;20201127;     
209;20201128;     
209;20201129;     
209;20201130;     
209;20201201;     
209;20201202;     
209;20201203;     
209;20201204;     
209;20201205;     
209;20201206;     
209;20201207;     
209;20201208;     
209;20201209;     
209;20201210;     
209;20201211;     
209;20201212;     
209;20201213;     
209;20201214;     
209;20201215;     
209;20201216;     
209;20201217;     
209;20201218;     
209;20201219;     
209;20201220;     
209;20201221;     
209;20201222;     
209;20201223;     
209;20201224;     
209;20201225;     
209;20201226;     
209;20201227;     
209;20201228;     
209;20201229;     
209;20201230;     
209;20201231;     
209;20210101;     
209;20210102;     
209;20210103;     
209;20210104;     
209;20210105;     
209;20210106;     
209;20210107;     
209;20210108;     
209;20210109;     
209;20210110;     
209;20210111;     
209;20210112;     
209;20210113;     
209;20210114;     
209;20210115;     
209;20210116;     
209;20210117;     
209;20210118;     
209;20210119;     
209;20210120;     
209;20210121;     
209;20210122;     
209;20210123;     
209;20210124;     
209;20210125;     
209;20210126;     
209;20210127;     
209;20210128;     
209;20210129;     
209;20210130;     
209;20210131;     
209;20210201;     
209;20210202;     
209;20210203;     
209;20210204;     
209;20210205;     
209;20210206;     
209;20210207;     
209;20210208;     
209;20210209;     
209;20210210;     
209;20210211;     
209;20210212;     
209;20210213;     
209;20210214;     
209;20210215;     
209;20210216;     
209;20210217;     
209;20210218;     
209;20210219;     
209;20210220;     
209;20210221;     
209;20210222;     
209;20210223;     
209;20210224;     
209;20210225;     
209;20210226;     
209;20210227;     
209;20210228;     
209;20210301;     
209;20210302;     
209;20210303;     
209;20210304;     
209;20210305;     
209;20210306;     
209;20210307;     
209;20210308;     
209;20210309;     
209;20210310;     
209;20210311;     
209;20210312;     
209;20210313;     
209;20210314;     
209;20210315;     
209;20210316;     
209;20210317;     
209;20210318;     
209;20210319;     
209;20210320;     
209;20210321;     
209;20210322;     
209;20210323;     
209;20210324;     
209;20210325;     
209;20210326;     
209;20210327;     
209;20210328;     
209;20210329;     
209;20210330;     
209;20210331;     
209;20210401;     
209;20210402;     
209;20210403;     
